epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4936.8,1.04222,0.64256,1.11228,0.95249,0.94319,0.96399,0.59752,1.32917,0.68353,1.3763,0.000742625,0.000742625,0.000742625
43,5060.35,1.03868,0.65031,1.10978,0.94827,0.93042,0.96508,0.58434,1.32579,0.69396,1.37951,0.00073025,0.00073025,0.00073025
44,5197.92,1.0123,0.61746,1.11165,0.95222,0.92972,0.95873,0.60085,1.30529,0.67083,1.37003,0.000717875,0.000717875,0.000717875
45,5307.88,1.00317,0.60282,1.09533,0.95075,0.94704,0.96427,0.60038,1.30228,0.6518,1.37391,0.0007055,0.0007055,0.0007055
46,5419.87,0.99369,0.59861,1.11247,0.96718,0.9414,0.96876,0.60355,1.30608,0.65171,1.35493,0.000693125,0.000693125,0.000693125
47,5540.91,0.99393,0.59768,1.10818,0.97874,0.93116,0.96514,0.60564,1.29904,0.63289,1.34443,0.00068075,0.00068075,0.00068075
48,5648.65,0.98228,0.60147,1.10555,0.94265,0.93823,0.95599,0.60017,1.29646,0.66048,1.34883,0.000668375,0.000668375,0.000668375
49,5756.02,0.95608,0.59184,1.0824,0.94049,0.92809,0.9486,0.59386,1.31294,0.65355,1.35991,0.000656,0.000656,0.000656
50,5875.05,0.98172,0.59261,1.09416,0.95411,0.92133,0.95626,0.60085,1.29875,0.67002,1.37034,0.000643625,0.000643625,0.000643625
51,6016.63,0.99714,0.59577,1.1065,0.92118,0.95075,0.95553,0.60021,1.29804,0.62482,1.36964,0.00063125,0.00063125,0.00063125
52,6138.88,0.97843,0.58892,1.08835,0.95396,0.95263,0.95262,0.60578,1.28158,0.62159,1.34296,0.000618875,0.000618875,0.000618875
53,6251.41,0.97006,0.58571,1.09331,0.94752,0.92443,0.95575,0.61005,1.28663,0.63718,1.33576,0.0006065,0.0006065,0.0006065
54,6364.79,0.9451,0.57396,1.06229,0.9601,0.92859,0.94984,0.61353,1.27532,0.62809,1.32882,0.000594125,0.000594125,0.000594125
55,6492.83,0.91442,0.55799,1.05681,0.95531,0.93337,0.95251,0.60857,1.30086,0.65402,1.34704,0.00058175,0.00058175,0.00058175
56,6597.89,0.97151,0.59758,1.1132,0.95531,0.94794,0.96338,0.61787,1.30945,0.61331,1.34837,0.000569375,0.000569375,0.000569375
57,6705.59,0.93331,0.55137,1.04785,0.95105,0.96117,0.95406,0.60683,1.30924,0.6087,1.35999,0.000557,0.000557,0.000557
58,6830.59,0.95278,0.56145,1.07793,0.97079,0.94643,0.96002,0.59924,1.30961,0.61806,1.37751,0.000544625,0.000544625,0.000544625
59,6990.47,0.93873,0.55064,1.06204,0.96086,0.96843,0.97109,0.60963,1.30407,0.5822,1.36462,0.00053225,0.00053225,0.00053225
60,7103.59,0.90417,0.53197,1.05525,0.96811,0.95163,0.97323,0.60923,1.31376,0.5937,1.37582,0.000519875,0.000519875,0.000519875
61,7216.4,0.91582,0.52935,1.05526,0.96392,0.95312,0.96858,0.60715,1.30945,0.61219,1.37963,0.0005075,0.0005075,0.0005075
62,7329.47,0.93053,0.54888,1.05927,0.96174,0.94695,0.95906,0.61037,1.29301,0.58721,1.36436,0.000495125,0.000495125,0.000495125
63,7452.72,0.90931,0.54204,1.06896,0.9638,0.95032,0.97136,0.59567,1.33709,0.58661,1.37542,0.00048275,0.00048275,0.00048275
64,7560,0.91248,0.53269,1.05715,0.96373,0.94353,0.95944,0.61906,1.28059,0.59925,1.35277,0.000470375,0.000470375,0.000470375
65,7680.37,0.89819,0.51971,1.05352,0.97042,0.93651,0.95998,0.61411,1.30145,0.59792,1.37549,0.000458,0.000458,0.000458
66,7788.88,0.89085,0.52814,1.05907,0.97056,0.95139,0.95495,0.6012,1.30332,0.60662,1.36687,0.000445625,0.000445625,0.000445625
67,7934.89,0.86421,0.50623,1.02781,0.96504,0.94485,0.95847,0.60373,1.3108,0.59631,1.37716,0.00043325,0.00043325,0.00043325
68,8047.57,0.86613,0.52003,1.04762,0.9643,0.94628,0.96273,0.59231,1.33536,0.59667,1.40198,0.000420875,0.000420875,0.000420875
69,8156.84,0.88786,0.52273,1.04371,0.96302,0.94227,0.95883,0.6011,1.32533,0.59167,1.40264,0.0004085,0.0004085,0.0004085
70,8281.53,0.88014,0.52466,1.04854,0.95731,0.94234,0.94932,0.60125,1.30797,0.58431,1.39303,0.000396125,0.000396125,0.000396125
71,8397.51,0.86746,0.50466,1.0444,0.96356,0.958,0.96317,0.61516,1.27551,0.59265,1.3708,0.00038375,0.00038375,0.00038375
72,8513.13,0.87974,0.50428,1.04881,0.96463,0.93877,0.95796,0.61193,1.27577,0.5943,1.3762,0.000371375,0.000371375,0.000371375
73,8632.3,0.86385,0.49002,1.0458,0.96805,0.94178,0.95579,0.62086,1.2637,0.5807,1.37385,0.000359,0.000359,0.000359
74,8744.07,0.84268,0.49511,1.03831,0.97226,0.93597,0.96179,0.61876,1.27272,0.57633,1.37183,0.000346625,0.000346625,0.000346625
75,8896.24,0.83897,0.49399,1.03566,0.96673,0.93344,0.96414,0.61236,1.28778,0.57035,1.38252,0.00033425,0.00033425,0.00033425
76,9004.01,0.8615,0.49105,1.04227,0.96605,0.94059,0.96426,0.61696,1.28155,0.57166,1.37381,0.000321875,0.000321875,0.000321875
77,9113.2,0.82756,0.48225,1.03165,0.95712,0.9496,0.96559,0.62719,1.27177,0.55295,1.35773,0.0003095,0.0003095,0.0003095
78,9236.23,0.84285,0.48614,1.03296,0.96401,0.94292,0.9696,0.62022,1.28516,0.56199,1.35828,0.000297125,0.000297125,0.000297125
79,9344.92,0.82292,0.47766,1.01212,0.96536,0.94758,0.96564,0.61787,1.29519,0.54967,1.36084,0.00028475,0.00028475,0.00028475
80,9454.33,0.82842,0.48427,1.02599,0.97586,0.94155,0.96297,0.61778,1.28083,0.55246,1.36617,0.000272375,0.000272375,0.000272375
81,9571.85,0.8269,0.50127,1.01496,0.97539,0.94494,0.96367,0.61979,1.27778,0.5627,1.36769,0.00026,0.00026,0.00026
82,9683.58,0.81595,0.50128,1.03082,0.95812,0.95264,0.96506,0.61343,1.26925,0.54145,1.37269,0.000247625,0.000247625,0.000247625
83,9847.73,0.80204,0.48337,1.01616,0.97677,0.93497,0.9639,0.60326,1.29374,0.56055,1.39427,0.00023525,0.00023525,0.00023525
84,9968.25,0.80386,0.46332,0.99859,0.97599,0.94339,0.95415,0.60872,1.28138,0.57041,1.3867,0.000222875,0.000222875,0.000222875
